# ::id test_amr.11 ::2015-10-29 16:33:12
# ::snt 他们 回答 我 说 ： ” 害怕 ？
(x1 / answer-01
      :arg0  (x3 / they)
      :arg3  (x5 / i)
      :arg2  (x6 / frighten-01))

# ::id test_amr.12 ::2016-01-23 21:25:12
# ::snt “ 一 顶 帽子 有 什么 可怕 的 ？ ”
(x9 / say
      :arg1  (x11 / frighten-01
            :arg0  (x12 / hat
                  :quant  (x13 / 1))
            :cause  (x15 / amr-unknown)
            :mode  (x16 / interrogative)))

# ::id test_amr.13 ::2015-11-18 19:42:07
# ::snt 我 画 的 不 是 帽子 ，
(x6 / hat
      :domain  (x10 / thing
            :arg1-of  (x11 / draw-01
                  :arg0  (x12 / i)))
      :polarity  (x13 / -))

# ::id test_amr.14 ::2015-11-16 10:59:27
# ::snt 是 一 条 巨蟒 在 消化 着 一 头 大象 。
(x7 / digest-01
      :arg0  (x9 / boa
            :mod (x8 / constrictor)
            :quant  (x10 / 1))
      :arg1  (x11 / elephant
            :quant  (x12 / 1))
      :domain  (x13 / thing))

# ::id test_amr.15 ::2016-04-22 15:36:11
# ::snt 既然 大人们 不 能够 理解 。 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 ， 以便 让 大人们 能够 看懂 。
(x24 / causation
      :arg1  (x26 / possible-01
            :polarity  (x27 / -)
            :arg0  (x28 / understand-01
                  :arg0  (x30 / grown-up)))
      :arg2  (x31 / draw-01
            :manner  (x32 / again)
            :arg0  (x33 / i)
            :arg1  (x34 / scene
                  :location  (x35 / belly
                        :part-of  (x37 / boa
                              :mod (x38 / constrictor))))
            :purpose  (x41 / possible-01
                  :arg0  (x42 / understand-01
                        :arg0  (x44 / x30)))))

# ::id test_amr.16 ::2015-11-16 11:12:47
# ::snt 这些 大人 总是 需要 解释 。
(x0 / need-01
      :arg0  (x2 / grown-up
            :mod  (x4 / these))
      :arg1  (x3 / explain-01)
      :manner  (x5 / always))

# ::id test_amr.17 ::2016-04-22 15:50:16
# ::snt 我 的 第二 号 作品 是 这样 的 ： 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 ， 或 闭上 肚皮 的 蟒蛇 的 图画 放 在 一边 ， 还是 把 兴趣 放 在 地理 、 历史 、 算术 、 语法 上 。
(x2 / this-01
      :domain  (x4 / artwork
            :poss  (x6 / i)
            :ord  (x44 / ordinal-entity
                  :value  (x45 / 2)))
      :arg0-of  (x46 / mean
            :arg1  (x47 / advise-01
                  :arg0  (x48 / grown-up)
                  :arg1  (x49 / x6)
                  :arg2  (x50 / and
                        :op1  (x51 / lay-01
                              :arg0  (x52 / x6)
                              :arg1  (x53 / picture
                                    :arg1-of  (x56 / draw-01
                                          :arg0  (x57 / x6))
                                    :topic  (x58 / or
                                          :op1  (x59 / open-02
                                                :arg0  (x60 / boa_constrictor)
                                                :arg1  (x61 / belly))
                                          :op2  (x63 / shut-01
                                                :arg0  (x64 / x60)
                                                :arg1  (x65 / x61))))
                              :arg2  (x66 / aside))
                        :op2  (x67 / develop-01
                              :arg0  (x68 / x6)
                              :arg1  (x69 / hobby)
                              :arg2  (x70 / and
                                    :op1  (x71 / geography)
                                    :op2  (x72 / history)
                                    :op3  (x73 / arithmetic)
